1954,07,07,01,03
1955,07,02,12,29
1956,06,26,12,23
1957,06,21,12,18
1958,06,16,12,13
1959,06,11,12,08
1960,06,05,12,02
1961,05,31,11,27
1962,05,26,12,22
1963,07,20,01,16
1964,07,14,01,10
1965,07,09,01,05
1966,07,04,12,31
1967,06,29,12,26
1968,06,23,12,20
1969,06,18,12,15
1970,06,13,12,10
1971,06,08,12,05
1972,06,02,11,29
1973,05,28,11,24
1974,06,22,01,18
1975,07,17,01,13
1976,07,11,01,07
1977,07,06,01,02
1978,07,01,12,28
1979,06,26,12,23
1980,06,20,12,17
1981,06,15,12,12
1982,06,10,12,07
1983,06,05,12,02
1984,05,30,11,26
1985,05,25,12,21
1986,07,19,01,15
1987,07,14,01,10
1988,07,08,01,04
1989,07,03,12,30
1990,06,28,12,25
1991,06,23,12,20
1992,06,17,12,14
1993,06,12,12,09
1994,06,07,12,04
1995,06,02,11,29
1996,05,27,11,23
1997,06,21,01,17
1998,07,16,01,12
1999,07,11,01,07
2000,07,05,01,01
2001,06,30,12,27
2002,06,25,12,22
2003,06,20,12,17
2004,06,14,12,11
2005,06,09,12,06
2006,06,04,12,01
2007,05,30,11,26
2008,05,24,12,20
2009,07,18,01,14
2010,07,13,01,09
2011,07,08,01,04
2012,07,02,12,29
2013,06,27,12,24
2014,06,22,12,19
2015,06,17,12,14
2016,06,11,12,08
2017,06,06,12,03
2018,06,01,11,28
2019,05,27,12,23
2020,07,20,01,16
2021,07,15,01,11
2022,07,10,01,06
2023,07,05,01,01
2024,06,29,12,26
2025,06,24,12,21
2026,06,19,12,16
2027,06,14,12,11
2028,06,08,12,05
2029,06,03,11,30
2030,05,29,11,25
2031,06,23,01,19
2032,07,17,01,13
2033,07,12,01,08
2034,07,07,01,03
2035,07,02,12,29
2036,06,26,12,23
2037,06,21,12,18
2038,06,16,12,13
2039,06,11,12,08
2040,06,05,12,02
2041,05,31,11,27
2042,05,26,12,22
2043,07,20,01,16
2044,07,14,01,10
2045,07,09,01,05
2046,07,04,12,31
2047,06,29,12,26
2048,06,23,12,20
2049,06,18,12,15
2050,06,13,12,10
2051,06,08,12,05
2052,06,02,11,29
2053,05,28,11,24
2054,06,22,01,18
2055,07,17,01,13
2056,07,11,01,07
2057,07,06,01,02
2058,07,01,12,28
2059,06,26,12,23
2060,06,20,12,17
2061,06,15,12,12
2062,06,10,12,07
2063,06,05,12,02
2064,05,30,11,26
2065,05,25,12,21
2066,07,19,01,15
2067,07,14,01,10
